,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 107.5)","(108.5, 184.5)","(185.5, 236.5)","(237.5, 393.5)","(394.5, 468.5)","(469.5, 879.5)","(880.5, 1008.5)","(1009.5, 1054.5)","(1055.5, 1115.5)","(1116.5, 1239.5)","(1240.5, 1334.5)"
"Time length, sec",102.0,76.0,51.0,156.0,74.0,410.0,128.0,45.0,60.0,123.0,94.0
Number of epochs,97,73,52,152,70,389,124,42,58,118,89
