,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 438.5)","(439.5, 1644.5)","(1645.5, 1712.5)","(1713.5, 1836.5)","(1837.5, 2106.5)","(2107.5, 2183.5)","(2184.5, 2263.5)"
"Time length, sec",433.0,1205.0,67.0,123.0,269.0,76.0,79.0
Number of epochs,398,1078,63,110,251,73,80
