,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 71.5)","(72.5, 116.5)","(117.5, 216.5)","(217.5, 295.5)","(296.5, 765.5)","(766.5, 946.5)","(947.5, 1059.5)","(1060.5, 1156.5)","(1161.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",63.0,44.0,99.0,78.0,469.0,180.0,112.0,96.0,77.0,65.0
Number of epochs,60,43,89,69,418,169,101,91,77,63
