,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 20.5)","(21.5, 147.5)","(149.5, 242.5)","(243.5, 518.5)","(520.5, 765.5)","(766.5, 944.5)","(945.5, 1046.5)","(1047.5, 1152.5)","(1153.5, 1256.5)","(1257.5, 1304.5)"
"Time length, sec",12.0,126.0,93.0,275.0,245.0,178.0,101.0,105.0,103.0,47.0
Number of epochs,13,119,83,245,219,167,92,98,98,46
