,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
0,0,35,10,Median,40,[   0 1018 1046],2,1018,28,523.0,20018.35300704889,27.10360811293813,0.05038925373093606,1.1994397630113713,9.653252700463883,0.05038925373093606,1.1994397630113713,9.653252700463883
1,0,35,20,Median,40,[   0   73  968 1046],3,895,73,348.6666666666667,16065.156529565971,15.159866300870252,0.011968059034161104,0.9557780466066027,17.026122128589947,0.01677900557558264,0.9685103297400486,16.81064260897265
2,40,50,20,Mode,40,[   0   85  553  932 1046],4,468,85,261.5,17095.261776730116,12.929731576142927,-0.004443404257331915,1.042836197601134,24.045006739058532,0.010266680135781503,1.0283099266555522,21.53463969330708
3,20,35,20,Median,40,[   0   85  306  614  965 1046],5,351,81,209.2,17981.914960937796,13.990201691784717,-0.0095660703242127,1.0198609963560032,21.262308911053125,0.0075268146623119515,1.0861376579872621,18.883585243001082
4,20,35,20,Median,40,[   0   85  305  553  736  965 1046],6,248,81,174.33333333333334,18028.831869946123,14.6481836791505,-0.010777649636929813,1.039036449024672,19.432759139538888,0.006471199336211664,1.0892101667725531,17.524678695439302
5,20,35,15,Median,40,[   0   73  239  327  584  745  965 1046],7,257,73,149.42857142857142,15779.827788539063,15.209277098778914,-0.007413301822415323,0.9488999139251841,18.820091880270684,0.003848881902657668,0.9510130816588656,16.722953071378754
6,20,45,20,Median,40,[   0   73  223  327  553  654  791  965 1046],8,226,73,130.75,16106.603951501933,16.06168025646578,-0.009211388430809231,0.9531333283159923,17.739721688473747,0.004001359776540004,0.9704800440077331,15.72133765872905
7,0,35,15,Median,40,[   0   73  214  306  397  552  608  745  932 1046],9,187,56,116.22222222222223,18274.885733287243,18.438361209796724,-0.0153431405217071,1.0408789308682247,16.19489624960157,0.003850692953019863,1.1033180859360718,13.733859308498227
8,40,35,15,Mode,40,[   0   73  223  283  383  553  608  736  791  932 1046],10,170,55,104.6,18576.96440762487,20.242426851797934,-0.017843646495933757,1.0740184536919666,15.249798035800845,0.0033510499342081276,1.1220746913423356,12.503255370550185
9,40,35,15,Mode,40,[   0   73  223  283  383  460  553  608  736  791  932 1046],11,150,55,95.0909090909091,18560.340348564794,20.870567179875394,-0.017931304904794883,1.073580379577777,14.925318532568717,0.0036022676171862363,1.1208360116840288,12.107713076673866
10,20,35,15,Mode,40,[   0   73  186  283  327  383  433  553  607  736  791  932 1046],12,141,44,87.16666666666667,17748.59332165304,21.712962175281692,-0.02716853328691282,1.0471097552167903,14.076967552410265,0.00336987962917366,1.075897497891871,11.699728289328304
11,60,45,15,Mode,40,[   0   73  215  283  383  447  553  608  654  736  815  866  932 1046],13,142,46,80.46153846153847,18112.636953892954,22.363181870990974,-0.022482611330305335,1.0661121512557479,13.846130523067794,0.0027699944526514714,1.0938123539637223,11.384835105464532
12,40,45,20,Median,40,"[   0   41   85  215  305  383  505  553  654  736  815  866  932  986
 1046]",14,130,41,74.71428571428571,18492.12148453413,23.21583919640353,-0.022412379780475066,1.0881289646286454,13.385998655269177,0.003452340303923703,1.1111787136620856,11.069149768314265
13,40,50,20,Median,40,"[   0   41   85  186  305  383  505  553  608  654  748  815  866  932
  985 1046]",15,122,41,69.73333333333333,18487.344840106078,24.042184710231968,-0.022782295802221006,1.0841975992394257,12.975348952873304,0.0024763924142152294,1.107441407757256,10.664676579621595
14,40,45,20,Median,40,"[   0   41   85  215  305  383  447  506  553  608  679  745  815  866
  932  986 1046]",16,130,41,65.375,18032.44312880998,24.061973823524138,-0.02272163865365296,1.0627565460477446,12.629787502794478,0.0032372923056304672,1.0827564302585466,10.621356249750745
