,N_clusters,K_neighb,Len_min,St_edges,Silh,Cal-Har,Dav-Bold
0,2,20,0,[   0    1 1045 1046],0.05090829132872693,46.620973399977515,4.512396785465093
1,2,20,20,[   0 1045 1046],0.05090829132872693,46.620973399977515,4.512396785465093
2,2,20,40,[   0 1045 1046],0.05090829132872693,46.620973399977515,4.512396785465093
3,2,20,60,[   0 1045 1046],0.05090829132872693,46.620973399977515,4.512396785465093
4,2,21,0,[   0   19 1044 1046],0.06623720933748944,46.4796607175031,4.204162986397144
5,2,21,20,[   0   19 1046],0.06623720933748944,46.4796607175031,4.204162986397144
6,2,21,40,[   0   19 1046],0.06623720933748944,46.4796607175031,4.204162986397144
7,2,21,60,[   0   19 1046],0.06623720933748944,46.4796607175031,4.204162986397144
8,2,22,0,[   0    1 1044 1046],0.04127817737859517,51.505821977181725,4.401841150599237
9,2,22,20,[   0 1044 1046],0.04127817737859517,51.505821977181725,4.401841150599237
10,2,22,40,[   0 1044 1046],0.04127817737859517,51.505821977181725,4.401841150599237
11,2,22,60,[   0 1044 1046],0.04127817737859517,51.505821977181725,4.401841150599237
12,2,23,0,[   0    1 1044 1046],0.04332636504348658,54.06378719156526,4.296056993934222
13,2,23,20,[   0 1044 1046],0.04332636504348658,54.06378719156526,4.296056993934222
14,2,23,40,[   0 1044 1046],0.04332636504348658,54.06378719156526,4.296056993934222
15,2,23,60,[   0 1044 1046],0.04332636504348658,54.06378719156526,4.296056993934222
16,2,24,0,[   0    1 1044 1046],0.057926594548981344,43.259512426323425,4.551917054971721
17,2,24,20,[   0 1044 1046],0.057926594548981344,43.259512426323425,4.551917054971721
18,2,24,40,[   0 1044 1046],0.057926594548981344,43.259512426323425,4.551917054971721
19,2,24,60,[   0 1044 1046],0.057926594548981344,43.259512426323425,4.551917054971721
20,2,25,0,[   0    1 1044 1046],0.06607639889734349,50.0894381353766,4.143704821660206
21,2,25,20,[   0 1044 1046],0.06607639889734349,50.0894381353766,4.143704821660206
