,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 434.5)","(436.5, 624.5)","(625.5, 1069.5)","(1071.5, 1240.5)","(1242.5, 1499.5)","(1500.5, 1661.5)","(1663.5, 2188.5)","(2189.5, 2345.5)"
"Time length, sec",424.0,188.0,444.0,169.0,257.0,161.0,525.0,156.0
Number of epochs,370,161,375,146,221,143,457,144
