,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 72.5)","(73.5, 411.5)","(412.5, 607.5)","(608.5, 1130.5)","(1132.5, 1323.5)","(1324.5, 1505.5)","(1506.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",62.0,338.0,195.0,522.0,191.0,181.0,595.0,243.0
Number of epochs,54,294,168,445,155,161,518,222
