,0,1,2,3,4,5,6
"Start-end time, sec","(9.5, 82.5)","(83.5, 270.5)","(271.5, 362.5)","(363.5, 500.5)","(501.5, 574.5)","(575.5, 667.5)","(668.5, 1055.5)"
"Time length, sec",73.0,187.0,91.0,137.0,73.0,92.0,387.0
Number of epochs,73,179,86,131,73,85,370
