,0,1,2,3,4,5,6
"Start-end time, sec","(9.5, 82.5)","(83.5, 247.5)","(248.5, 331.5)","(332.5, 480.5)","(481.5, 566.5)","(567.5, 883.5)","(884.5, 1055.5)"
"Time length, sec",73.0,164.0,83.0,148.0,85.0,316.0,171.0
Number of epochs,73,156,80,142,83,298,165
