,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 244.5)","(245.5, 517.5)","(518.5, 578.5)","(579.5, 787.5)","(788.5, 927.5)","(928.5, 1059.5)","(1060.5, 1155.5)","(1156.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",53.0,182.0,272.0,60.0,208.0,139.0,131.0,95.0,82.0,65.0
Number of epochs,52,165,242,48,192,130,120,90,78,63
