,Feature,IV,IVs
0,feature-0 betti-1 max,0.3449560563159484,"[1.2439313983184692, 0.058613078909853775, 0.13133875721130583, 0.20979457256007839, 0.7228772726551143, 0.19244642175324722, 0.21583527837758304, 0.05991300926928653, 0.2698547177885974]"
1,feature-0 betti-1 mean,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,feature-0 betti-1 std,0.44200956388734913,"[1.2618859108619307, 0.07628221498121424, 0.17958368206481543, 0.19560612394412888, 1.1187203983748375, 0.4286563697089694, 0.4713733220231804, 0.10130167244891629, 0.14467638057814936]"
3,feature-0 betti-1 sum,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,feature-0 betti-1 norm,0.44200956388734913,"[1.2618859108619307, 0.07628221498121424, 0.17958368206481543, 0.19560612394412888, 1.1187203983748375, 0.4286563697089694, 0.4713733220231804, 0.10130167244891629, 0.14467638057814936]"
5,feature-0 betti-1 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,feature-0 betti-1 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,feature-0 betti-1 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,feature-0 betti-1 percentile-90,0.012801496054496616,"[0.03025590094494317, 0.0004094366242323466, 0.0008170034068411005, 0.01249009727855826, 0.0040172540441542615, 0.005888069041518191, 0.011043271680320463, 0.004247361567875549, 0.046045069902026205]"
9,feature-0 betti-1 kurtosis,0.21091268367823765,"[0.6588753244420343, 0.0637232075632836, 0.07329709309656142, 0.15383582530726791, 0.05147175427302123, 0.10780857899878284, 0.2036920260198602, 0.29386412477882007, 0.2916462186245072]"
10,feature-0 betti-1 skew,0.12976429094194558,"[0.33162579826393374, 0.058511462049382665, 0.033155969774666914, 0.18514181960868328, 0.13847558399216553, 0.13216598710934832, 0.01689949326968128, 0.0833791421671597, 0.18852336224248883]"
11,feature-0 betti-2 max,0.24355083729571828,"[1.2000552530090731, 0.018508168615274687, 0.10795857688033639, 0.0558045068925058, 0.3303365679319709, 0.10657339125926082, 0.04216695693514281, 0.17906967620249598, 0.15148443793540378]"
12,feature-0 betti-2 mean,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,feature-0 betti-2 std,0.3731595619622386,"[1.760043142925353, 0.030381433440242776, 0.054811714344964665, 0.38288579733073813, 0.46144930482423197, 0.11807263539719734, 0.14184898553805353, 0.2541338319655893, 0.154809211893777]"
14,feature-0 betti-2 sum,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,feature-0 betti-2 norm,0.3731595619622386,"[1.760043142925353, 0.030381433440242776, 0.054811714344964665, 0.38288579733073813, 0.46144930482423197, 0.11807263539719734, 0.14184898553805353, 0.2541338319655893, 0.154809211893777]"
16,feature-0 betti-2 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,feature-0 betti-2 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,feature-0 betti-2 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,feature-0 betti-2 percentile-90,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,feature-0 betti-2 kurtosis,0.29600212955750144,"[1.0751193222017779, 0.03204074011905396, 0.08142136332388823, 0.4272752465948279, 0.28707868670512304, 0.20083972333421876, 0.04139761963759064, 0.32780606721548494, 0.19104039688554716]"
21,feature-0 betti-2 skew,0.14843795668187776,"[0.5401793043495795, 0.017180558443567626, 0.010865571082163603, 0.05256683485816911, 0.10375652098180421, 0.06729700547575254, 0.04307397842434566, 0.14261895989893442, 0.35840287662258324]"
22,feature-0 entropy-1,0.6053158586096798,"[1.364780130028279, 0.21568543944033747, 0.17223598942795343, 0.49556083326929357, 1.9743365515014495, 0.61065223824685, 0.2893673104151549, 0.15610876391015335, 0.16911547124764703]"
23,feature-0 entropy-2,0.4515854370402027,"[2.077558925704794, 0.04932362697967205, 0.07031765245146511, 0.3499628207705111, 0.263085104938167, 0.14023946122219863, 0.14570079219480578, 0.5150364741820503, 0.45304407491816095]"
24,feature-0 numberofpoints-1,0.5468329189865558,"[1.3473276737805282, 0.13048635845672826, 0.15961719122764048, 0.3935384113127977, 1.6899936254803365, 0.5229952275331189, 0.33348336305788434, 0.03942858233430526, 0.3046258376956622]"
25,feature-0 numberofpoints-2,0.4493864882859541,"[2.083813259231223, 0.02830255396178915, 0.07563006647846574, 0.26938049874634395, 0.30681072583505437, 0.17923683879940802, 0.23098286193888123, 0.5282111360713587, 0.3421104535110636]"
26,feature-0 bottleneck-amplitude-1,0.6689917045162319,"[1.6617124228849867, 0.2517223575073206, 0.46648057861564673, 0.39561626963366225, 1.1834109070041912, 0.33628177285294386, 0.2579342571089034, 1.0588373584780248, 0.40892941656040827]"
27,feature-0 bottleneck-amplitude-2,0.25025335155447725,"[0.4945307766479928, 0.032761202302918666, 0.07780694061350021, 0.18008560380735122, 0.6160298422107143, 0.1714107789476513, 0.21979947525808308, 0.25149175168691384, 0.20836379251516976]"
28,feature-0 bottleneck-amplitude-norm,0.6830776629781872,"[1.7265590108369238, 0.27207930319307083, 0.4092695362043717, 0.4489681827395455, 1.1777474977359417, 0.28740406864170254, 0.24023216782603868, 1.224939324706966, 0.3604998749191236]"
29,feature-0 wasserstein-amplitude-1,0.6466758862793264,"[1.0909070408067563, 0.40117616030648173, 0.2516962775880224, 0.6543842828974926, 0.9261627653435734, 0.3898743579202207, 0.28017586083755047, 1.3382088390134925, 0.4874973918003474]"
30,feature-0 wasserstein-amplitude-2,0.258658056804217,"[0.6468511807254285, 0.06675035659635609, 0.10477370151842409, 0.19467429120954, 0.7109154462528527, 0.11229884893213771, 0.11570678415687968, 0.2640480983480011, 0.11190380349833308]"
31,feature-0 wasserstein-amplitude-norm,0.6409523216907399,"[0.9920855155169986, 0.4012336341279859, 0.268420364967945, 0.6522542252165777, 0.9201608953543938, 0.39793429373536016, 0.3023925917085728, 1.3131768137391304, 0.5209125608496948]"
32,feature-0 betti-amplitude-1,0.5966732960556285,"[0.8072083440816119, 0.3232365535309263, 0.15209225025577303, 0.09930209743511494, 1.991961072383967, 0.8782118078277072, 0.35843101135511685, 0.5497959544308043, 0.20982057319963385]"
33,feature-0 betti-amplitude-2,0.4017835948119456,"[1.9348151974562824, 0.033412799512827836, 0.21623493523267193, 0.1935818419651259, 0.5482985670013614, 0.08153570541390648, 0.14931685913011186, 0.23956737461551353, 0.21928907297970823]"
34,feature-0 betti-amplitude-norm,0.5942637417278208,"[0.7842356884738938, 0.3224243118348131, 0.1570757931584479, 0.10465334075283199, 2.0034994186587256, 0.8687192936443828, 0.35568561985329966, 0.545604454921511, 0.20647575425248155]"
35,feature-0 landscape-amplitude-1,0.6626529331946167,"[1.6909719575088205, 0.25528809086503035, 0.3500196674899918, 0.46939583721991984, 1.2543474518269853, 0.36104955182465465, 0.23877963484896825, 0.9622710064982578, 0.38175320066892215]"
36,feature-0 landscape-amplitude-2,0.20746676055341592,"[0.4439777005550807, 0.05887736255436815, 0.07115625857200138, 0.14451287217649725, 0.5599370801305843, 0.1078466849046205, 0.11217786162946423, 0.1745318122060717, 0.19418321225205526]"
