,Feature,true,internal,external,internal-diff,external-diff
0,feature-0 betti-1 max,0.3449560563159484,0.2934472738063247,0.29979658479593696,0.05150878250962371,0.04515947152001143
1,feature-0 betti-1 mean,0.0,0.0,0.0,0.0,0.0
2,feature-0 betti-1 std,0.44200956388734913,0.3944876868316167,0.3991278063753598,0.04752187705573241,0.04288175751198936
3,feature-0 betti-1 sum,0.0,0.0,0.0,0.0,0.0
4,feature-0 betti-1 norm,0.44200956388734913,0.3944876868316167,0.3991278063753598,0.04752187705573241,0.04288175751198936
5,feature-0 betti-1 percentile-25,0.0,0.0,0.0,0.0,0.0
6,feature-0 betti-1 median,0.0,0.0,0.0,0.0,0.0
7,feature-0 betti-1 percentile-75,0.0,0.0,0.0,0.0,0.0
8,feature-0 betti-1 percentile-90,0.012801496054496616,0.010910621754652652,0.01276360593285555,0.0018908742998439646,3.789012164106577e-05
9,feature-0 betti-1 kurtosis,0.21091268367823765,0.20941527058065873,0.2066363757243658,0.0014974130975789202,0.00427630795387185
10,feature-0 betti-1 skew,0.12976429094194558,0.13699984833317108,0.1543522587005819,-0.0072355573912255,-0.02458796775863631
11,feature-0 betti-2 max,0.24355083729571828,0.1556954176680771,0.18245589816536364,0.08785541962764118,0.06109493913035463
12,feature-0 betti-2 mean,0.0,0.0,0.0,0.0,0.0
13,feature-0 betti-2 std,0.3731595619622386,0.21904907163557466,0.30582890674990687,0.15411049032666393,0.06733065521233172
14,feature-0 betti-2 sum,0.0,0.0,0.0,0.0,0.0
15,feature-0 betti-2 norm,0.3731595619622386,0.21904907163557466,0.30582890674990687,0.15411049032666393,0.06733065521233172
16,feature-0 betti-2 percentile-25,0.0,0.0,0.0,0.0,0.0
17,feature-0 betti-2 median,0.0,0.0,0.0,0.0,0.0
18,feature-0 betti-2 percentile-75,0.0,0.0,0.0,0.0,0.0
19,feature-0 betti-2 percentile-90,0.0,0.0,0.0,0.0,0.0
20,feature-0 betti-2 kurtosis,0.29600212955750144,0.18475201633562502,0.237846361130453,0.11125011322187642,0.05815576842704845
21,feature-0 betti-2 skew,0.14843795668187776,0.11519302334742,0.1126227737746599,0.03324493333445776,0.03581518290721786
22,feature-0 entropy-1,0.6053158586096798,0.5405925296648744,0.575444873398948,0.06472332894480548,0.029870985210731837
23,feature-0 entropy-2,0.4515854370402027,0.2982782090608822,0.35651158329458227,0.1533072279793205,0.09507385374562044
24,feature-0 numberofpoints-1,0.5468329189865558,0.49714023323010587,0.5160191525121542,0.04969268575644997,0.030813766474401594
25,feature-0 numberofpoints-2,0.4493864882859541,0.28593354389124914,0.30187549137169045,0.16345294439470498,0.14751099691426367
26,feature-0 bottleneck-amplitude-1,0.6689917045162319,0.5336129749076769,0.5979470083646885,0.13537872960855502,0.07104469615154341
27,feature-0 bottleneck-amplitude-2,0.25025335155447725,0.20685903900006888,0.21014211121340265,0.04339431255440837,0.040111240341074605
28,feature-0 bottleneck-amplitude-norm,0.6830776629781872,0.5380288617125127,0.592144217518014,0.14504880126567443,0.09093344546017312
29,feature-0 wasserstein-amplitude-1,0.6466758862793264,0.5845966470706067,0.614658862558114,0.062079239208719716,0.0320170237212124
30,feature-0 wasserstein-amplitude-2,0.258658056804217,0.2005399091162442,0.21111578719092464,0.0581181476879728,0.04754226961329236
