,0,1,2,3,4,5,6,7
"Start-end time, sec","(5.5, 195.5)","(196.5, 302.5)","(303.5, 651.5)","(652.5, 1017.5)","(1018.5, 1196.5)","(1197.5, 1321.5)","(1322.5, 1444.5)","(1445.5, 1765.5)"
"Time length, sec",190.0,106.0,348.0,365.0,178.0,124.0,122.0,320.0
Number of epochs,173,103,317,347,165,117,113,297
