,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 72.5)","(73.5, 411.5)","(412.5, 619.5)","(620.5, 1125.5)","(1126.5, 1333.5)","(1334.5, 1506.5)","(1507.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",62.0,338.0,207.0,505.0,207.0,172.0,594.0,243.0
Number of epochs,54,294,179,430,168,153,517,222
