,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 491.5)","(493.5, 613.5)","(614.5, 857.5)","(858.5, 1240.5)","(1242.5, 1497.5)","(1499.5, 1755.5)","(1756.5, 2017.5)","(2018.5, 2345.5)"
"Time length, sec",481.0,120.0,243.0,382.0,255.0,256.0,261.0,327.0
Number of epochs,420,102,204,326,220,220,231,294
