,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 118.7)","(119.5, 198.7)","(199.5, 311.5)","(312.3, 508.3)","(509.1, 620.3)","(621.1, 717.1)","(719.5, 756.3)","(757.1, 877.1)","(877.9, 938.7)"
"Time length, sec",108.8,79.19999999999999,112.0,196.0,111.19999999999993,96.0,36.799999999999955,120.0,60.80000000000007
Number of epochs,124,86,125,221,126,113,44,137,70
