,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 210.5)","(211.5, 411.5)","(412.5, 654.5)","(655.5, 1087.5)","(1088.5, 1333.5)","(1334.5, 1767.5)","(1768.5, 2233.5)","(2234.5, 2348.5)"
"Time length, sec",200.0,200.0,242.0,432.0,245.0,433.0,465.0,114.0
Number of epochs,178,170,208,365,204,377,411,106
