,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 76.5)","(78.5, 219.5)","(220.5, 301.5)","(302.5, 509.5)","(510.5, 767.5)","(768.5, 944.5)","(945.5, 1059.5)","(1060.5, 1154.5)","(1155.5, 1239.5)","(1240.5, 1304.5)"
"Time length, sec",68.0,141.0,81.0,207.0,257.0,176.0,114.0,94.0,84.0,64.0
Number of epochs,64,131,72,185,229,165,103,89,80,62
