,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 104.5)","(105.5, 338.5)","(339.5, 564.5)","(565.5, 919.5)","(920.5, 1046.5)","(1047.5, 1210.5)","(1211.5, 1755.5)"
"Time length, sec",99.0,233.0,225.0,354.0,126.0,163.0,544.0
Number of epochs,98,220,216,336,122,150,500
