,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 170.5)","(171.5, 292.5)","(294.5, 727.5)","(728.5, 1204.5)","(1205.5, 1443.5)","(1444.5, 1729.5)","(1730.5, 2110.5)","(2111.5, 2345.5)"
"Time length, sec",160.0,121.0,433.0,476.0,238.0,285.0,380.0,234.0
Number of epochs,142,104,369,410,198,247,333,214
